ID        Sex       BirthYear BY.min    BY.max   
a01029    1         2001      -999      -999     
a01030    1         2001      -999      -999     
a01031    1         2001      -999      -999     
a01032    1         2001      -999      -999     
b01033    2         2001      -999      -999     
b01034    2         2001      -999      -999     
a01035    1         2001      -999      -999     
a01036    1         2001      -999      -999     
b01037    2         2001      -999      -999     
b01038    2         2001      -999      -999     
a01039    1         2001      -999      -999     
b01040    2         2001      -999      -999     
b01041    2         2001      -999      -999     
a01042    1         2001      -999      -999     
a01043    1         2001      -999      -999     
b01044    2         2001      -999      -999     
b01045    2         2001      -999      -999     
a01046    1         2001      -999      -999     
a01047    1         2001      -999      -999     
a01048    1         2001      -999      -999     
b01049    2         2001      -999      -999     
a01050    1         2001      -999      -999     
a01051    1         2001      -999      -999     
b01052    2         2001      -999      -999     
a01053    1         2001      -999      -999     
b01054    2         2001      -999      -999     
b01055    2         2001      -999      -999     
a01056    1         2001      -999      -999     
b01057    2         2001      -999      -999     
b01058    2         2001      -999      -999     
b01059    2         2001      -999      -999     
b01060    2         2001      -999      -999     
b01061    2         2001      -999      -999     
a01062    1         2001      -999      -999     
a01063    1         2001      -999      -999     
b01064    2         2001      -999      -999     
b01065    2         2001      -999      -999     
b01066    2         2001      -999      -999     
b01067    2         2001      -999      -999     
a01068    1         2001      -999      -999     
b01069    2         2001      -999      -999     
a01070    1         2001      -999      -999     
a01071    1         2001      -999      -999     
b01072    2         2001      -999      -999     
a01073    1         2001      -999      -999     
a01074    1         2001      -999      -999     
b01075    2         2001      -999      -999     
a01076    1         2001      -999      -999     
a01077    1         2001      -999      -999     
a01078    1         2001      -999      -999     
b01079    2         2001      -999      -999     
a01080    1         2001      -999      -999     
a01081    1         2001      -999      -999     
b01082    2         2001      -999      -999     
a01083    1         2001      -999      -999     
b01084    2         2001      -999      -999     
b01085    2         2001      -999      -999     
a01086    1         2001      -999      -999     
b01087    2         2001      -999      -999     
b01088    2         2001      -999      -999     
b01089    2         2001      -999      -999     
a01090    1         2001      -999      -999     
b01091    2         2001      -999      -999     
b01092    2         2001      -999      -999     
a01093    1         2001      -999      -999     
b01094    2         2001      -999      -999     
b01095    2         2001      -999      -999     
b01096    2         2001      -999      -999     
a01097    1         2001      -999      -999     
b01098    2         2001      -999      -999     
a01099    1         2001      -999      -999     
b01100    2         2001      -999      -999     
b01101    2         2001      -999      -999     
b01102    2         2001      -999      -999     
a01103    1         2001      -999      -999     
b01104    2         2001      -999      -999     
a01105    1         2001      -999      -999     
b01106    2         2001      -999      -999     
b01107    2         2001      -999      -999     
a01108    1         2001      -999      -999     
b01109    2         2001      -999      -999     
a01110    1         2001      -999      -999     
a01111    1         2001      -999      -999     
a01112    1         2001      -999      -999     
a01113    1         2001      -999      -999     
a01114    1         2001      -999      -999     
b01115    2         2001      -999      -999     
a01116    1         2001      -999      -999     
a01117    1         2001      -999      -999     
a01118    1         2001      -999      -999     
b01119    2         2001      -999      -999     
b01120    2         2001      -999      -999     
b01121    2         2001      -999      -999     
a01122    1         2001      -999      -999     
a01123    1         2001      -999      -999     
b01124    2         2001      -999      -999     
b01125    2         2001      -999      -999     
a01126    1         2001      -999      -999     
b01127    2         2001      -999      -999     
a01128    1         2001      -999      -999     
a01129    1         2001      -999      -999     
a01130    1         2001      -999      -999     
a01131    1         2001      -999      -999     
a01132    1         2001      -999      -999     
b01133    2         2001      -999      -999     
b01134    2         2001      -999      -999     
a01135    1         2001      -999      -999     
b01136    2         2001      -999      -999     
b01137    2         2001      -999      -999     
b01138    2         2001      -999      -999     
a01139    1         2001      -999      -999     
a01140    1         2001      -999      -999     
a01141    1         2001      -999      -999     
a01142    1         2001      -999      -999     
a01143    1         2001      -999      -999     
a01144    1         2001      -999      -999     
b01145    2         2001      -999      -999     
b01146    2         2001      -999      -999     
b01147    2         2001      -999      -999     
a01148    1         2001      -999      -999     
b01149    2         2001      -999      -999     
a01150    1         2001      -999      -999     
b01151    2         2001      -999      -999     
a01152    1         2001      -999      -999     
b01153    2         2001      -999      -999     
a01154    1         2001      -999      -999     
a01155    1         2001      -999      -999     
a01156    1         2001      -999      -999     
a01157    1         2001      -999      -999     
a01158    1         2001      -999      -999     
b01159    2         2001      -999      -999     
b01160    2         2001      -999      -999     
b01161    2         2001      -999      -999     
a01162    1         2001      -999      -999     
a01163    1         2001      -999      -999     
b01164    2         2001      -999      -999     
b01165    2         2001      -999      -999     
a01166    1         2001      -999      -999     
a01167    1         2001      -999      -999     
b01168    2         2001      -999      -999     
a01169    1         2001      -999      -999     
a01170    1         2001      -999      -999     
a01171    1         2001      -999      -999     
b01172    2         2001      -999      -999     
a01173    1         2001      -999      -999     
b01174    2         2001      -999      -999     
b01175    2         2001      -999      -999     
a01176    1         2001      -999      -999     
a01177    1         2001      -999      -999     
b01178    2         2001      -999      -999     
a01179    1         2001      -999      -999     
b01180    2         2001      -999      -999     
a01181    1         2001      -999      -999     
b01182    2         2001      -999      -999     
a01183    1         2001      -999      -999     
b01184    2         2001      -999      -999     
a01185    1         2001      -999      -999     
a01186    1         2001      -999      -999     
b01187    2         2001      -999      -999     
b01188    2         2001      -999      -999     
a01189    1         2001      -999      -999     
a01190    1         2001      -999      -999     
b01191    2         2001      -999      -999     
a01192    1         2001      -999      -999     
a02001    1         2002      -999      -999     
a02002    1         2002      -999      -999     
b02003    2         2002      -999      -999     
b02004    2         2002      -999      -999     
b02005    2         2002      -999      -999     
a02006    1         2002      -999      -999     
b02007    2         2002      -999      -999     
a02008    1         2002      -999      -999     
b02009    2         2002      -999      -999     
a02010    1         2002      -999      -999     
a02011    1         2002      -999      -999     
b02012    2         2002      -999      -999     
a02013    1         2002      -999      -999     
b02014    2         2002      -999      -999     
a02015    1         2002      -999      -999     
a02016    1         2002      -999      -999     
a02017    1         2002      -999      -999     
a02018    1         2002      -999      -999     
a02019    1         2002      -999      -999     
a02020    1         2002      -999      -999     
b02021    2         2002      -999      -999     
b02022    2         2002      -999      -999     
a02023    1         2002      -999      -999     
b02024    2         2002      -999      -999     
a02025    1         2002      -999      -999     
b02026    2         2002      -999      -999     
b02027    2         2002      -999      -999     
b02028    2         2002      -999      -999     
a02029    1         2002      -999      -999     
a02030    1         2002      -999      -999     
a02031    1         2002      -999      -999     
b02032    2         2002      -999      -999     
b02033    2         2002      -999      -999     
b02034    2         2002      -999      -999     
a02035    1         2002      -999      -999     
b02036    2         2002      -999      -999     
b02037    2         2002      -999      -999     
a02038    1         2002      -999      -999     
b02039    2         2002      -999      -999     
a02040    1         2002      -999      -999     
a02041    1         2002      -999      -999     
b02042    2         2002      -999      -999     
b02043    2         2002      -999      -999     
a02044    1         2002      -999      -999     
b02045    2         2002      -999      -999     
a02046    1         2002      -999      -999     
a02047    1         2002      -999      -999     
b02048    2         2002      -999      -999     
a02049    1         2002      -999      -999     
b02050    2         2002      -999      -999     
a02051    1         2002      -999      -999     
a02052    1         2002      -999      -999     
a02053    1         2002      -999      -999     
b02054    2         2002      -999      -999     
b02055    2         2002      -999      -999     
a02056    1         2002      -999      -999     
a02057    1         2002      -999      -999     
a02058    1         2002      -999      -999     
b02059    2         2002      -999      -999     
b02060    2         2002      -999      -999     
b02061    2         2002      -999      -999     
a02062    1         2002      -999      -999     
a02063    1         2002      -999      -999     
b02064    2         2002      -999      -999     
a02065    1         2002      -999      -999     
b02066    2         2002      -999      -999     
b02067    2         2002      -999      -999     
a02068    1         2002      -999      -999     
a02069    1         2002      -999      -999     
b02070    2         2002      -999      -999     
b02071    2         2002      -999      -999     
b02072    2         2002      -999      -999     
a02073    1         2002      -999      -999     
b02074    2         2002      -999      -999     
a02075    1         2002      -999      -999     
a02076    1         2002      -999      -999     
b02077    2         2002      -999      -999     
a02078    1         2002      -999      -999     
a02079    1         2002      -999      -999     
b02080    2         2002      -999      -999     
b02081    2         2002      -999      -999     
a02082    1         2002      -999      -999     
b02083    2         2002      -999      -999     
a02084    1         2002      -999      -999     
b02085    2         2002      -999      -999     
a02086    1         2002      -999      -999     
b02087    2         2002      -999      -999     
b02088    2         2002      -999      -999     
b02089    2         2002      -999      -999     
a02090    1         2002      -999      -999     
b02091    2         2002      -999      -999     
b02092    2         2002      -999      -999     
a02093    1         2002      -999      -999     
a02094    1         2002      -999      -999     
b02095    2         2002      -999      -999     
a02096    1         2002      -999      -999     
a02097    1         2002      -999      -999     
b02098    2         2002      -999      -999     
a02099    1         2002      -999      -999     
a02100    1         2002      -999      -999     
a02101    1         2002      -999      -999     
a02102    1         2002      -999      -999     
b02103    2         2002      -999      -999     
a02104    1         2002      -999      -999     
a02105    1         2002      -999      -999     
a02106    1         2002      -999      -999     
a02107    1         2002      -999      -999     
a02108    1         2002      -999      -999     
a02109    1         2002      -999      -999     
a02110    1         2002      -999      -999     
a02111    1         2002      -999      -999     
a02112    1         2002      -999      -999     
a02113    1         2002      -999      -999     
a02114    1         2002      -999      -999     
b02115    2         2002      -999      -999     
a02116    1         2002      -999      -999     
a02117    1         2002      -999      -999     
a02118    1         2002      -999      -999     
a02119    1         2002      -999      -999     
a02120    1         2002      -999      -999     
a02121    1         2002      -999      -999     
a02122    1         2002      -999      -999     
a02123    1         2002      -999      -999     
a02124    1         2002      -999      -999     
b02125    2         2002      -999      -999     
a02126    1         2002      -999      -999     
b02127    2         2002      -999      -999     
b02128    2         2002      -999      -999     
b02129    2         2002      -999      -999     
b02130    2         2002      -999      -999     
a02131    1         2002      -999      -999     
a02132    1         2002      -999      -999     
a02133    1         2002      -999      -999     
b02134    2         2002      -999      -999     
b02135    2         2002      -999      -999     
a02136    1         2002      -999      -999     
a02137    1         2002      -999      -999     
b02138    2         2002      -999      -999     
a02139    1         2002      -999      -999     
a02140    1         2002      -999      -999     
a02141    1         2002      -999      -999     
b02142    2         2002      -999      -999     
b02143    2         2002      -999      -999     
b02144    2         2002      -999      -999     
a02145    1         2002      -999      -999     
a02146    1         2002      -999      -999     
b02147    2         2002      -999      -999     
b02148    2         2002      -999      -999     
b02149    2         2002      -999      -999     
b02150    2         2002      -999      -999     
b02151    2         2002      -999      -999     
b02152    2         2002      -999      -999     
b02153    2         2002      -999      -999     
a02154    1         2002      -999      -999     
b02155    2         2002      -999      -999     
a02156    1         2002      -999      -999     
b02157    2         2002      -999      -999     
b02158    2         2002      -999      -999     
b02159    2         2002      -999      -999     
a02160    1         2002      -999      -999     
b02161    2         2002      -999      -999     
b02162    2         2002      -999      -999     
a02163    1         2002      -999      -999     
a02164    1         2002      -999      -999     
b02165    2         2002      -999      -999     
a02166    1         2002      -999      -999     
b02167    2         2002      -999      -999     
b02168    2         2002      -999      -999     
a02169    1         2002      -999      -999     
b02170    2         2002      -999      -999     
a02171    1         2002      -999      -999     
b02172    2         2002      -999      -999     
a02173    1         2002      -999      -999     
b02174    2         2002      -999      -999     
a02175    1         2002      -999      -999     
a02176    1         2002      -999      -999     
a02177    1         2002      -999      -999     
a02178    1         2002      -999      -999     
b02179    2         2002      -999      -999     
b02180    2         2002      -999      -999     
b02181    2         2002      -999      -999     
b02182    2         2002      -999      -999     
b02183    2         2002      -999      -999     
b02184    2         2002      -999      -999     
a02185    1         2002      -999      -999     
b02186    2         2002      -999      -999     
b02187    2         2002      -999      -999     
b02188    2         2002      -999      -999     
a02189    1         2002      -999      -999     
a02190    1         2002      -999      -999     
b02191    2         2002      -999      -999     
a02192    1         2002      -999      -999     
a03001    1         2003      -999      -999     
b03002    2         2003      -999      -999     
a03003    1         2003      -999      -999     
b03004    2         2003      -999      -999     
b03005    2         2003      -999      -999     
a03006    1         2003      -999      -999     
a03007    1         2003      -999      -999     
a03008    1         2003      -999      -999     
b03009    2         2003      -999      -999     
a03010    1         2003      -999      -999     
b03011    2         2003      -999      -999     
b03012    2         2003      -999      -999     
b03013    2         2003      -999      -999     
b03014    2         2003      -999      -999     
a03015    1         2003      -999      -999     
a03016    1         2003      -999      -999     
b03017    2         2003      -999      -999     
b03018    2         2003      -999      -999     
b03019    2         2003      -999      -999     
b03020    2         2003      -999      -999     
b03021    2         2003      -999      -999     
b03022    2         2003      -999      -999     
b03023    2         2003      -999      -999     
b03024    2         2003      -999      -999     
b03025    2         2003      -999      -999     
a03026    1         2003      -999      -999     
a03027    1         2003      -999      -999     
b03028    2         2003      -999      -999     
b03029    2         2003      -999      -999     
b03030    2         2003      -999      -999     
a03031    1         2003      -999      -999     
b03032    2         2003      -999      -999     
b03033    2         2003      -999      -999     
a03034    1         2003      -999      -999     
b03035    2         2003      -999      -999     
a03036    1         2003      -999      -999     
b03037    2         2003      -999      -999     
b03038    2         2003      -999      -999     
b03039    2         2003      -999      -999     
b03040    2         2003      -999      -999     
b03041    2         2003      -999      -999     
a03042    1         2003      -999      -999     
b03043    2         2003      -999      -999     
b03044    2         2003      -999      -999     
a03045    1         2003      -999      -999     
b03046    2         2003      -999      -999     
b03047    2         2003      -999      -999     
b03048    2         2003      -999      -999     
a03049    1         2003      -999      -999     
b03050    2         2003      -999      -999     
a03051    1         2003      -999      -999     
a03052    1         2003      -999      -999     
b03053    2         2003      -999      -999     
b03054    2         2003      -999      -999     
a03055    1         2003      -999      -999     
b03056    2         2003      -999      -999     
b03057    2         2003      -999      -999     
a03058    1         2003      -999      -999     
a03059    1         2003      -999      -999     
a03060    1         2003      -999      -999     
a03061    1         2003      -999      -999     
b03062    2         2003      -999      -999     
a03063    1         2003      -999      -999     
a03064    1         2003      -999      -999     
a03065    1         2003      -999      -999     
b03066    2         2003      -999      -999     
b03067    2         2003      -999      -999     
b03068    2         2003      -999      -999     
b03069    2         2003      -999      -999     
a03070    1         2003      -999      -999     
a03071    1         2003      -999      -999     
a03072    1         2003      -999      -999     
a03073    1         2003      -999      -999     
a03074    1         2003      -999      -999     
b03075    2         2003      -999      -999     
b03076    2         2003      -999      -999     
b03077    2         2003      -999      -999     
a03078    1         2003      -999      -999     
b03079    2         2003      -999      -999     
a03080    1         2003      -999      -999     
b03081    2         2003      -999      -999     
a03082    1         2003      -999      -999     
a03083    1         2003      -999      -999     
a03084    1         2003      -999      -999     
b03085    2         2003      -999      -999     
b03086    2         2003      -999      -999     
a03087    1         2003      -999      -999     
a03088    1         2003      -999      -999     
a03089    1         2003      -999      -999     
b03090    2         2003      -999      -999     
a03091    1         2003      -999      -999     
b03092    2         2003      -999      -999     
b03093    2         2003      -999      -999     
b03094    2         2003      -999      -999     
b03095    2         2003      -999      -999     
b03096    2         2003      -999      -999     
b03097    2         2003      -999      -999     
a03098    1         2003      -999      -999     
a03099    1         2003      -999      -999     
a03100    1         2003      -999      -999     
b03101    2         2003      -999      -999     
a03102    1         2003      -999      -999     
a03103    1         2003      -999      -999     
b03104    2         2003      -999      -999     
a03105    1         2003      -999      -999     
a03106    1         2003      -999      -999     
a03107    1         2003      -999      -999     
a03108    1         2003      -999      -999     
b03109    2         2003      -999      -999     
b03110    2         2003      -999      -999     
a03111    1         2003      -999      -999     
a03112    1         2003      -999      -999     
a03113    1         2003      -999      -999     
b03114    2         2003      -999      -999     
b03115    2         2003      -999      -999     
a03116    1         2003      -999      -999     
b03117    2         2003      -999      -999     
b03118    2         2003      -999      -999     
b03119    2         2003      -999      -999     
b03120    2         2003      -999      -999     
a03121    1         2003      -999      -999     
a03122    1         2003      -999      -999     
b03123    2         2003      -999      -999     
a03124    1         2003      -999      -999     
b03125    2         2003      -999      -999     
a03126    1         2003      -999      -999     
b03127    2         2003      -999      -999     
a03128    1         2003      -999      -999     
b03129    2         2003      -999      -999     
b03130    2         2003      -999      -999     
b03131    2         2003      -999      -999     
a03132    1         2003      -999      -999     
a03133    1         2003      -999      -999     
b03134    2         2003      -999      -999     
b03135    2         2003      -999      -999     
b03136    2         2003      -999      -999     
b03137    2         2003      -999      -999     
b03138    2         2003      -999      -999     
b03139    2         2003      -999      -999     
a03140    1         2003      -999      -999     
a03141    1         2003      -999      -999     
b03142    2         2003      -999      -999     
a03143    1         2003      -999      -999     
a03144    1         2003      -999      -999     
b03145    2         2003      -999      -999     
b03146    2         2003      -999      -999     
a03147    1         2003      -999      -999     
a03148    1         2003      -999      -999     
b03149    2         2003      -999      -999     
b03150    2         2003      -999      -999     
b03151    2         2003      -999      -999     
a03152    1         2003      -999      -999     
b03153    2         2003      -999      -999     
a03154    1         2003      -999      -999     
b03155    2         2003      -999      -999     
b03156    2         2003      -999      -999     
a03157    1         2003      -999      -999     
a03158    1         2003      -999      -999     
a03159    1         2003      -999      -999     
b03160    2         2003      -999      -999     
b03161    2         2003      -999      -999     
a03162    1         2003      -999      -999     
b03163    2         2003      -999      -999     
b03164    2         2003      -999      -999     
a03165    1         2003      -999      -999     
b03166    2         2003      -999      -999     
a03167    1         2003      -999      -999     
a03168    1         2003      -999      -999     
b03169    2         2003      -999      -999     
a03170    1         2003      -999      -999     
a03171    1         2003      -999      -999     
b03172    2         2003      -999      -999     
a03173    1         2003      -999      -999     
b03174    2         2003      -999      -999     
a03175    1         2003      -999      -999     
b03176    2         2003      -999      -999     
a03177    1         2003      -999      -999     
b03178    2         2003      -999      -999     
b03179    2         2003      -999      -999     
b03180    2         2003      -999      -999     
b03181    2         2003      -999      -999     
b03182    2         2003      -999      -999     
b03183    2         2003      -999      -999     
a03184    1         2003      -999      -999     
a03185    1         2003      -999      -999     
b03186    2         2003      -999      -999     
a03187    1         2003      -999      -999     
b03188    2         2003      -999      -999     
a03189    1         2003      -999      -999     
a03190    1         2003      -999      -999     
a03191    1         2003      -999      -999     
b03192    2         2003      -999      -999     
a04001    1         2004      -999      -999     
b04002    2         2004      -999      -999     
a04003    1         2004      -999      -999     
a04004    1         2004      -999      -999     
a04005    1         2004      -999      -999     
a04006    1         2004      -999      -999     
b04007    2         2004      -999      -999     
a04008    1         2004      -999      -999     
a04009    1         2004      -999      -999     
a04010    1         2004      -999      -999     
a04011    1         2004      -999      -999     
a04012    1         2004      -999      -999     
a04013    1         2004      -999      -999     
b04014    2         2004      -999      -999     
b04015    2         2004      -999      -999     
b04016    2         2004      -999      -999     
a04017    1         2004      -999      -999     
b04018    2         2004      -999      -999     
a04019    1         2004      -999      -999     
a04020    1         2004      -999      -999     
a04021    1         2004      -999      -999     
a04022    1         2004      -999      -999     
b04023    2         2004      -999      -999     
b04024    2         2004      -999      -999     
a04025    1         2004      -999      -999     
b04026    2         2004      -999      -999     
b04027    2         2004      -999      -999     
a04028    1         2004      -999      -999     
a04029    1         2004      -999      -999     
b04030    2         2004      -999      -999     
b04031    2         2004      -999      -999     
a04032    1         2004      -999      -999     
a04033    1         2004      -999      -999     
a04034    1         2004      -999      -999     
a04035    1         2004      -999      -999     
a04036    1         2004      -999      -999     
a04037    1         2004      -999      -999     
a04038    1         2004      -999      -999     
a04039    1         2004      -999      -999     
b04040    2         2004      -999      -999     
a04041    1         2004      -999      -999     
b04042    2         2004      -999      -999     
b04043    2         2004      -999      -999     
b04044    2         2004      -999      -999     
a04045    1         2004      -999      -999     
a04046    1         2004      -999      -999     
b04047    2         2004      -999      -999     
b04048    2         2004      -999      -999     
b04049    2         2004      -999      -999     
b04050    2         2004      -999      -999     
b04051    2         2004      -999      -999     
a04052    1         2004      -999      -999     
a04053    1         2004      -999      -999     
b04054    2         2004      -999      -999     
b04055    2         2004      -999      -999     
b04056    2         2004      -999      -999     
b04057    2         2004      -999      -999     
a04058    1         2004      -999      -999     
a04059    1         2004      -999      -999     
a04060    1         2004      -999      -999     
a04061    1         2004      -999      -999     
b04062    2         2004      -999      -999     
a04063    1         2004      -999      -999     
a04064    1         2004      -999      -999     
a04065    1         2004      -999      -999     
a04066    1         2004      -999      -999     
a04067    1         2004      -999      -999     
a04068    1         2004      -999      -999     
a04069    1         2004      -999      -999     
a04070    1         2004      -999      -999     
b04071    2         2004      -999      -999     
b04072    2         2004      -999      -999     
b04073    2         2004      -999      -999     
a04074    1         2004      -999      -999     
a04075    1         2004      -999      -999     
a04076    1         2004      -999      -999     
a04077    1         2004      -999      -999     
a04078    1         2004      -999      -999     
b04079    2         2004      -999      -999     
b04080    2         2004      -999      -999     
b04081    2         2004      -999      -999     
a04082    1         2004      -999      -999     
b04083    2         2004      -999      -999     
b04084    2         2004      -999      -999     
b04085    2         2004      -999      -999     
a04086    1         2004      -999      -999     
b04087    2         2004      -999      -999     
a04088    1         2004      -999      -999     
b04089    2         2004      -999      -999     
a04090    1         2004      -999      -999     
a04091    1         2004      -999      -999     
b04092    2         2004      -999      -999     
a04093    1         2004      -999      -999     
b04094    2         2004      -999      -999     
b04095    2         2004      -999      -999     
a04096    1         2004      -999      -999     
b04097    2         2004      -999      -999     
b04098    2         2004      -999      -999     
a04099    1         2004      -999      -999     
a04100    1         2004      -999      -999     
a04101    1         2004      -999      -999     
a04102    1         2004      -999      -999     
b04103    2         2004      -999      -999     
b04104    2         2004      -999      -999     
a04105    1         2004      -999      -999     
b04106    2         2004      -999      -999     
b04107    2         2004      -999      -999     
b04108    2         2004      -999      -999     
b04109    2         2004      -999      -999     
a04110    1         2004      -999      -999     
a04111    1         2004      -999      -999     
a04112    1         2004      -999      -999     
b04113    2         2004      -999      -999     
a04114    1         2004      -999      -999     
b04115    2         2004      -999      -999     
a04116    1         2004      -999      -999     
b04117    2         2004      -999      -999     
b04118    2         2004      -999      -999     
a04119    1         2004      -999      -999     
a04120    1         2004      -999      -999     
a04121    1         2004      -999      -999     
a04122    1         2004      -999      -999     
b04123    2         2004      -999      -999     
b04124    2         2004      -999      -999     
b04125    2         2004      -999      -999     
a04126    1         2004      -999      -999     
a04127    1         2004      -999      -999     
a04128    1         2004      -999      -999     
a04129    1         2004      -999      -999     
b04130    2         2004      -999      -999     
b04131    2         2004      -999      -999     
b04132    2         2004      -999      -999     
b04133    2         2004      -999      -999     
b04134    2         2004      -999      -999     
b04135    2         2004      -999      -999     
b04136    2         2004      -999      -999     
a04137    1         2004      -999      -999     
b04138    2         2004      -999      -999     
b04139    2         2004      -999      -999     
a04140    1         2004      -999      -999     
a04141    1         2004      -999      -999     
a04142    1         2004      -999      -999     
b04143    2         2004      -999      -999     
a04144    1         2004      -999      -999     
a04145    1         2004      -999      -999     
a04146    1         2004      -999      -999     
a04147    1         2004      -999      -999     
a04148    1         2004      -999      -999     
b04149    2         2004      -999      -999     
a04150    1         2004      -999      -999     
b04151    2         2004      -999      -999     
b04152    2         2004      -999      -999     
b04153    2         2004      -999      -999     
a04154    1         2004      -999      -999     
b04155    2         2004      -999      -999     
a04156    1         2004      -999      -999     
a04157    1         2004      -999      -999     
b04158    2         2004      -999      -999     
a04159    1         2004      -999      -999     
a04160    1         2004      -999      -999     
b04161    2         2004      -999      -999     
a04162    1         2004      -999      -999     
a04163    1         2004      -999      -999     
b04164    2         2004      -999      -999     
b04165    2         2004      -999      -999     
b04166    2         2004      -999      -999     
a04167    1         2004      -999      -999     
b04168    2         2004      -999      -999     
b04169    2         2004      -999      -999     
a04170    1         2004      -999      -999     
a04171    1         2004      -999      -999     
b04172    2         2004      -999      -999     
b04173    2         2004      -999      -999     
a04174    1         2004      -999      -999     
a04175    1         2004      -999      -999     
b04176    2         2004      -999      -999     
b04177    2         2004      -999      -999     
b04178    2         2004      -999      -999     
b04179    2         2004      -999      -999     
a04180    1         2004      -999      -999     
b04181    2         2004      -999      -999     
b04182    2         2004      -999      -999     
b04183    2         2004      -999      -999     
b04184    2         2004      -999      -999     
a04185    1         2004      -999      -999     
b04186    2         2004      -999      -999     
a04187    1         2004      -999      -999     
b04188    2         2004      -999      -999     
b04189    2         2004      -999      -999     
a04190    1         2004      -999      -999     
b04191    2         2004      -999      -999     
b04192    2         2004      -999      -999     
a05001    1         2005      -999      -999     
a05002    1         2005      -999      -999     
b05003    2         2005      -999      -999     
b05004    2         2005      -999      -999     
a05005    1         2005      -999      -999     
a05006    1         2005      -999      -999     
b05007    2         2005      -999      -999     
b05008    2         2005      -999      -999     
a05009    1         2005      -999      -999     
a05010    1         2005      -999      -999     
b05011    2         2005      -999      -999     
a05012    1         2005      -999      -999     
b05013    2         2005      -999      -999     
b05014    2         2005      -999      -999     
b05015    2         2005      -999      -999     
a05016    1         2005      -999      -999     
a05017    1         2005      -999      -999     
b05018    2         2005      -999      -999     
b05019    2         2005      -999      -999     
b05020    2         2005      -999      -999     
b05021    2         2005      -999      -999     
a05022    1         2005      -999      -999     
b05023    2         2005      -999      -999     
b05024    2         2005      -999      -999     
b05025    2         2005      -999      -999     
a05026    1         2005      -999      -999     
a05027    1         2005      -999      -999     
a05028    1         2005      -999      -999     
b05029    2         2005      -999      -999     
b05030    2         2005      -999      -999     
a05031    1         2005      -999      -999     
a05032    1         2005      -999      -999     
b05033    2         2005      -999      -999     
a05034    1         2005      -999      -999     
a05035    1         2005      -999      -999     
a05036    1         2005      -999      -999     
b05037    2         2005      -999      -999     
b05038    2         2005      -999      -999     
a05039    1         2005      -999      -999     
b05040    2         2005      -999      -999     
a05041    1         2005      -999      -999     
a05042    1         2005      -999      -999     
a05043    1         2005      -999      -999     
b05044    2         2005      -999      -999     
b05045    2         2005      -999      -999     
a05046    1         2005      -999      -999     
b05047    2         2005      -999      -999     
a05048    1         2005      -999      -999     
a05049    1         2005      -999      -999     
b05050    2         2005      -999      -999     
a05051    1         2005      -999      -999     
a05052    1         2005      -999      -999     
b05053    2         2005      -999      -999     
a05054    1         2005      -999      -999     
a05055    1         2005      -999      -999     
b05056    2         2005      -999      -999     
b05057    2         2005      -999      -999     
a05058    1         2005      -999      -999     
b05059    2         2005      -999      -999     
a05060    1         2005      -999      -999     
a05061    1         2005      -999      -999     
a05062    1         2005      -999      -999     
a05063    1         2005      -999      -999     
a05064    1         2005      -999      -999     
